file,clip_id,cue_index,timestamp_range,start_tc,end_tc,duration_sec,loop_bin,intensity,score,text
tx_019.srt,tx_019,206,"00:06:04,735 --> 00:06:06,570","00:06:04,735","00:06:06,570",1.8349999999999795,micro,max,45,WE HOLD BROADCASTERS ACCOUNTABLE TO PUBLIC INTEREST OBLIGATIONS
tx_002.srt,tx_002,76,"00:03:04,639 --> 00:03:10,558","00:03:04,639","00:03:10,558",5.918999999999983,phrase,max,43,threatening of licenses of broadcasters
tx_013.srt,tx_013,157,"00:06:09,769 --> 00:06:11,271","00:06:09,769","00:06:11,271",1.5020000000000095,micro,max,41,of fines or license revocations
tx_013.srt,tx_013,315,"00:12:35,388 --> 00:12:38,191","00:12:35,388","00:12:38,191",2.8029999999999973,short,max,37,Carr leaned on broadcasters to take down Kimmel.
tx_020.srt,tx_020,36,"00:01:14,640 --> 00:01:19,680","00:01:14,640","00:01:19,680",5.040000000000006,phrase,max,37,the greatest threats to free speech in
tx_009.srt,tx_009,50,"00:00:47,012 --> 00:00:49,181","00:00:47,012","00:00:49,181",2.168999999999997,short,max,35,THREATS OF. REGULATORY ACTION.
tx_019.srt,tx_019,205,"00:06:02,166 --> 00:06:04,724","00:06:02,166","00:06:04,724",2.5579999999999927,short,max,35,SO I THINK IT’S IMPORTANT THAT WE HOLD BROADCASTERS ACCOUNTABLE
tx_022.srt,tx_022,202,"00:07:47,501 --> 00:07:50,304","00:07:47,501","00:07:50,304",2.8029999999999973,short,max,35,after facing pressure from Donald Trump's FCC.
tx_019.srt,tx_019,264,"00:07:52,878 --> 00:07:53,835","00:07:52,878","00:07:53,835",0.9569999999999936,micro,high,34,CENTENNIAL MINUTE WHERE BROADCASTERS WOULD DO A MINUTE
tx_019.srt,tx_019,233,"00:07:00,124 --> 00:07:01,124","00:07:00,124","00:07:01,124",1.0,micro,high,34,BROADCASTERS TO AIR PRO AMERICA PATRIOTIC PROGRAMMING TO
tx_013.srt,tx_013,151,"00:05:53,954 --> 00:05:56,790","00:05:53,954","00:05:56,790",2.8360000000000127,short,high,34,that a lot of these licensed broadcasters themselves
tx_022.srt,tx_022,323,"00:12:17,604 --> 00:12:21,375","00:12:17,604","00:12:21,375",3.770999999999958,short,high,34,There's a reason free speech is in the very First Amendment.
tx_003.srt,tx_003,16,"00:00:24,559 --> 00:00:28,398","00:00:24,559","00:00:28,398",3.8389999999999986,short,high,33,"free speech and free expression, and we"
tx_006.srt,tx_006,59,"00:02:26,560 --> 00:02:33,359","00:02:26,560","00:02:33,359",6.799000000000007,phrase,high,33,Carr's u mafia boss threats against the
tx_019.srt,tx_019,215,"00:06:22,120 --> 00:06:23,977","00:06:22,120","00:06:23,977",1.856999999999971,micro,high,32,YOU ANNOUNCED THE CAMPAIGN ENCOURAGING BROADCASTERS TO AIR
tx_019.srt,tx_019,239,"00:07:07,966 --> 00:07:09,857","00:07:07,966","00:07:09,857",1.8910000000000196,micro,high,32,BROADCASTERS HAVE EMBRACED IT. SOME ON THE LEFT PUSHED BACK.
tx_019.srt,tx_019,216,"00:06:23,988 --> 00:06:25,946","00:06:23,988","00:06:25,946",1.9580000000000268,micro,high,32,"ENCOURAGING BROADCASTERS TO AIR MORE PRO AMERICA CONTENT, SUCH"
tx_022.srt,tx_022,211,"00:08:09,489 --> 00:08:11,491","00:08:09,489","00:08:11,491",2.0020000000000095,short,high,32,Trump promised to end government censorship
tx_019.srt,tx_019,265,"00:07:53,846 --> 00:07:55,946","00:07:53,846","00:07:55,946",2.1000000000000227,short,high,32,"BROADCASTERS WOULD DO A MINUTE EVERY DAY, SOMETHING ABOUT THE"
tx_019.srt,tx_019,238,"00:07:05,564 --> 00:07:07,964","00:07:05,564","00:07:07,964",2.3999999999999773,short,high,32,INTERESTING. BROADCASTERS HAVE EMBRACED IT.
tx_009.srt,tx_009,337,"00:06:09,769 --> 00:06:12,370","00:06:09,769","00:06:12,370",2.600999999999999,short,high,32,"BROADCASTERS ARE GOING TO, YOU"
tx_019.srt,tx_019,232,"00:06:57,388 --> 00:07:00,090","00:06:57,388","00:07:00,090",2.701999999999998,short,high,32,CAMPAIGN WHICH ALLOWS BROADCASTERS TO AIR PRO AMERICA
tx_013.srt,tx_013,156,"00:06:06,800 --> 00:06:09,703","00:06:06,800","00:06:09,703",2.902999999999963,short,high,32,"we, the licensed broadcaster, are running the possibility"
tx_027.srt,tx_027,72,"00:02:52,318 --> 00:02:56,318","00:02:52,318","00:02:56,318",4.0,short,high,32,threatening ABC's licenses when he made
tx_017.srt,tx_017,205,"00:11:59,051 --> 00:12:00,686","00:11:59,051","00:12:00,686",1.634999999999991,micro,high,31,those licenses directly.
tx_013.srt,tx_013,294,"00:11:44,337 --> 00:11:46,072","00:11:44,337","00:11:46,072",1.7350000000000136,micro,high,31,of local broadcasters refusing to carry
tx_024.srt,tx_024,171,"00:07:49,360 --> 00:07:51,919","00:07:49,360","00:07:51,919",2.558999999999969,short,high,31,broadcast licenses of people who don't
tx_013.srt,tx_013,475,"00:19:55,494 --> 00:19:58,197","00:19:55,494","00:19:58,197",2.7029999999999745,short,high,31,that the First Amendment is absolutely critical
tx_013.srt,tx_013,432,"00:18:19,702 --> 00:18:22,435","00:18:19,702","00:18:22,435",2.7329999999999472,short,high,31,the first casualty in Trump's attacks on free speech.
tx_022.srt,tx_022,272,"00:10:11,912 --> 00:10:15,282","00:10:11,912","00:10:15,282",3.3700000000000045,short,high,31,accused the Trump administration of ending free speech.
tx_016.srt,tx_016,5,"00:00:12,846 --> 00:00:16,583","00:00:12,846","00:00:16,583",3.7369999999999983,short,high,31,"after pressure from the FCC, leaving everyone thinking,"
tx_008.srt,tx_008,69,"00:02:20,159 --> 00:02:24,958","00:02:20,159","00:02:24,958",4.799000000000007,short,high,31,local broadcasters that have the public
tx_021.srt,tx_021,45,"00:01:37,840 --> 00:01:43,100","00:01:37,840","00:01:43,100",5.259999999999991,phrase,high,31,broadcasting licenses revoked. They give
tx_019.srt,tx_019,207,"00:06:06,604 --> 00:06:07,527","00:06:06,604","00:06:07,527",0.9230000000000018,micro,high,30,TO PUBLIC INTEREST OBLIGATIONS AND THAT’S WHAT WE’RE DOING AT
tx_009.srt,tx_009,139,"00:02:11,663 --> 00:02:13,298","00:02:11,663","00:02:13,298",1.634999999999991,micro,high,30,LICENSES OF ABC AFFILIATES
tx_019.srt,tx_019,275,"00:08:11,330 --> 00:08:13,031","00:08:11,330","00:08:13,031",1.7010000000000218,micro,high,30,"THANK YOU, SIR. FCC CHAIRMAN, BRENDAN CARR."
tx_009.srt,tx_009,186,"00:03:21,167 --> 00:03:23,401","00:03:21,167","00:03:23,401",2.234000000000009,short,high,30,THE FCC THREATENED TO.
tx_019.srt,tx_019,116,"00:03:30,480 --> 00:03:32,781","00:03:30,480","00:03:32,781",2.301000000000016,short,high,30,MARIA: LET ME MOVE ON TO THE FCC’S INVESTIGATION OVER ABC’S
tx_019.srt,tx_019,202,"00:05:57,895 --> 00:06:00,196","00:05:57,895","00:06:00,196",2.3010000000000446,short,high,30,AT THE SAME TIME THE TRUST IN MEDIA HAS JUST ABSOLUTELY BEEN
tx_017.srt,tx_017,380,"00:19:25,063 --> 00:19:27,699","00:19:25,063","00:19:27,699",2.6359999999999673,short,high,30,Is Donald Trump stifling free speech?
tx_022.srt,tx_022,274,"00:10:17,518 --> 00:10:20,354","00:10:17,518","00:10:20,354",2.8360000000000127,short,high,30,blaming the Trump administration for threatening media companies
tx_015.srt,tx_015,10,"00:00:10,176 --> 00:00:13,179","00:00:10,176","00:00:13,179",3.003,short,high,30,against government pressure.
tx_019.srt,tx_019,117,"00:03:32,815 --> 00:03:36,074","00:03:32,815","00:03:36,074",3.2590000000000146,short,high,30,FCC’S INVESTIGATION OVER ABC’S THE VIEW AFTER A SENATE
tx_011.srt,tx_011,23,"00:00:48,399 --> 00:00:53,360","00:00:48,399","00:00:53,360",4.9609999999999985,short,high,30,subject to governmental pressures. And
tx_020.srt,tx_020,13,"00:00:23,600 --> 00:00:29,119","00:00:23,600","00:00:29,119",5.518999999999998,phrase,high,30,came after public pressure from FCC
tx_009.srt,tx_009,283,"00:05:06,338 --> 00:05:07,973","00:05:06,338","00:05:07,973",1.634999999999991,micro,high,29,">> YOU KNOW, FREE SPEECH"
tx_022.srt,tx_022,212,"00:08:11,491 --> 00:08:13,293","00:08:11,491","00:08:13,293",1.802000000000021,micro,high,29,"and bring back free speech, and he's doing the opposite."
tx_022.srt,tx_022,158,"00:06:17,344 --> 00:06:19,346","00:06:17,344","00:06:19,346",2.0020000000000095,short,high,29,"-We've had free speech for a very, very long time"
tx_022.srt,tx_022,178,"00:07:00,287 --> 00:07:02,322","00:07:00,287","00:07:02,322",2.035000000000025,short,high,29,We have free speech. We didn't have free speech.
tx_013.srt,tx_013,138,"00:05:14,548 --> 00:05:16,850","00:05:14,548","00:05:16,850",2.302000000000021,short,high,29,"And on Wednesday, Brendan Carr, the chair of the FCC,"
tx_013.srt,tx_013,287,"00:11:27,115 --> 00:11:29,422","00:11:27,115","00:11:29,422",2.3070000000000164,short,high,29,local broadcasters tell what we call
tx_013.srt,tx_013,303,"00:12:01,621 --> 00:12:04,461","00:12:01,621","00:12:04,461",2.840000000000032,short,high,29,local broadcasters responding to their community values
tx_013.srt,tx_013,309,"00:12:16,135 --> 00:12:19,159","00:12:16,135","00:12:19,159",3.024000000000001,short,high,29,Calling these companies local broadcasters
tx_022.srt,tx_022,171,"00:06:39,833 --> 00:06:43,270","00:06:39,833","00:06:43,270",3.436999999999955,short,high,29,"-In America, we believe in free speech"
tx_022.srt,tx_022,175,"00:06:50,010 --> 00:06:53,547","00:06:50,010","00:06:53,547",3.5370000000000346,short,high,29,I will restore free speech. I will restore free speech.
tx_017.srt,tx_017,181,"00:11:03,162 --> 00:11:06,799","00:11:03,162","00:11:06,799",3.6369999999999436,short,high,29,"So, you know, you can call that free speech or not."
tx_006.srt,tx_006,113,"00:04:32,319 --> 00:04:36,319","00:04:32,319","00:04:36,319",4.0,short,high,29,speech and I support free speech
tx_010.srt,tx_010,35,"00:01:20,640 --> 00:01:24,640","00:01:20,640","00:01:24,640",4.0,short,high,29,"understand is that the broadcasters, and"
tx_008.srt,tx_008,141,"00:04:45,519 --> 00:04:49,599","00:04:45,519","00:04:49,599",4.079999999999984,short,high,29,that local broadcasters feel like they
tx_008.srt,tx_008,41,"00:01:22,239 --> 00:01:26,319","00:01:22,239","00:01:26,319",4.079999999999998,short,high,29,now. You don't have an FCC license. You
tx_024.srt,tx_024,58,"00:02:36,318 --> 00:02:40,558","00:02:36,318","00:02:40,558",4.239999999999981,short,high,29,sending a clear signal to broadcasters
tx_024.srt,tx_024,151,"00:06:26,240 --> 00:06:30,639","00:06:26,240","00:06:30,639",4.399000000000001,short,high,29,for broadcasters to push back on Disney
tx_002.srt,tx_002,80,"00:03:15,199 --> 00:03:19,998","00:03:15,199","00:03:19,998",4.798999999999978,short,high,29,Chairman Carr's threats as akin to
tx_008.srt,tx_008,64,"00:02:10,800 --> 00:02:15,679","00:02:10,800","00:02:15,679",4.878999999999991,short,high,29,broadcasters are now pushing back on
tx_024.srt,tx_024,63,"00:02:46,080 --> 00:02:51,040","00:02:46,080","00:02:51,040",4.9599999999999795,short,high,29,broadcasters themselves push back on
tx_006.srt,tx_006,98,"00:03:59,519 --> 00:04:04,560","00:03:59,519","00:04:04,560",5.040999999999997,phrase,high,29,deplatform Americans and broadcasters
tx_006.srt,tx_006,100,"00:04:04,560 --> 00:04:10,720","00:04:04,560","00:04:10,720",6.159999999999997,phrase,high,29,FCC to revoke licenses from Sinclair for
tx_009.srt,tx_009,262,"00:04:52,357 --> 00:04:53,292","00:04:52,357","00:04:53,292",0.9349999999999454,micro,high,28,>> PRESSURE DO.
tx_009.srt,tx_009,290,"00:05:11,444 --> 00:05:13,111","00:05:11,444","00:05:13,111",1.6669999999999732,micro,high,28,>> PRESSURE FROM THE LEFT HERE.
tx_022.srt,tx_022,173,"00:06:45,739 --> 00:06:47,608","00:06:45,739","00:06:47,608",1.8690000000000282,micro,high,28,I stopped government censorship
tx_009.srt,tx_009,121,"00:01:54,346 --> 00:01:56,247","00:01:54,346","00:01:56,247",1.9009999999999962,micro,high,28,>> PRESSURE ON ABC.
tx_022.srt,tx_022,180,"00:07:04,124 --> 00:07:06,560","00:07:04,124","00:07:06,560",2.4359999999999786,short,high,28,And I have stopped all government censorship
tx_006.srt,tx_006,103,"00:04:12,080 --> 00:04:14,959","00:04:12,080","00:04:14,959",2.8789999999999907,short,high,28,on government censorship in the First
tx_009.srt,tx_009,247,"00:04:35,139 --> 00:04:38,276","00:04:35,139","00:04:38,276",3.1370000000000005,short,high,28,>> THINK THAT THE PRESSURE ON
tx_003.srt,tx_003,13,"00:00:19,039 --> 00:00:22,400","00:00:19,039","00:00:22,400",3.360999999999997,short,high,28,to silence its critics and control what
tx_022.srt,tx_022,176,"00:06:53,547 --> 00:06:57,351","00:06:53,547","00:06:57,351",3.8039999999999736,short,high,28,I banned government censorship from your voices
tx_022.srt,tx_022,283,"00:10:42,009 --> 00:10:45,846","00:10:42,009","00:10:45,846",3.836999999999989,short,high,28,that is allowed to be critical of the government.
tx_020.srt,tx_020,7,"00:00:10,160 --> 00:00:14,639","00:00:10,160","00:00:14,639",4.478999999999999,short,high,28,the senator calls the pressure by the
tx_024.srt,tx_024,140,"00:05:51,839 --> 00:05:56,319","00:05:51,839","00:05:56,319",4.480000000000018,short,high,28,over the line. But the threat of Trump
tx_023.srt,tx_023,35,"00:01:19,200 --> 00:01:23,839","00:01:19,200","00:01:23,839",4.638999999999996,short,high,28,>> We need free speech in UK cuz we've not
tx_011.srt,tx_011,33,"00:01:16,319 --> 00:01:21,679","00:01:16,319","00:01:21,679",5.359999999999999,phrase,high,28,First Amendment. We've watched the Trump
tx_015.srt,tx_015,125,"00:02:51,271 --> 00:02:52,138","00:02:51,271","00:02:52,138",0.8670000000000186,micro,med,27,for free speech.
tx_022.srt,tx_022,161,"00:06:23,884 --> 00:06:24,885","00:06:23,884","00:06:24,885",1.0009999999999764,micro,med,27,-[ British accent ] We've had free speech
tx_019.srt,tx_019,139,"00:04:17,293 --> 00:04:18,393","00:04:17,293","00:04:18,393",1.099999999999966,micro,med,27,OVER THE YEARS THE FCC EFFECTIVELY WALKED AWAY FROM
tx_022.srt,tx_022,250,"00:09:28,569 --> 00:09:29,670","00:09:28,569","00:09:29,670",1.100999999999999,micro,med,27,crackdown on free speech
tx_019.srt,tx_019,257,"00:07:42,734 --> 00:07:43,868","00:07:42,734","00:07:43,868",1.1340000000000146,micro,med,27,"LOOK, WE STARTED THE FCC’S OPEN MEETINGS I CHAIR WITH THE PLEDGE"
tx_019.srt,tx_019,26,"00:00:45,180 --> 00:00:46,403","00:00:45,180","00:00:46,403",1.222999999999999,micro,med,27,THE FCC SAYS WEDNESDAY IT WOULD SEEK PUBLIC COMMENT ON
tx_015.srt,tx_015,9,"00:00:08,942 --> 00:00:10,176","00:00:08,942","00:00:10,176",1.234,micro,med,27,of free speech
tx_022.srt,tx_022,184,"00:07:12,666 --> 00:07:13,934","00:07:12,666","00:07:13,934",1.268000000000029,micro,med,27,can agree free speech is a good thing.
tx_019.srt,tx_019,181,"00:05:27,331 --> 00:05:28,731","00:05:27,331","00:05:28,731",1.3999999999999773,micro,med,27,"THEY ARE, THE TEST UNDER THE FCC’S RULES IS WHETHER YOU ARE"
tx_015.srt,tx_015,311,"00:06:47,707 --> 00:06:49,175","00:06:47,707","00:06:49,175",1.4680000000000177,micro,med,27,of a station licenses
tx_019.srt,tx_019,245,"00:07:21,746 --> 00:07:23,237","00:07:21,746","00:07:23,237",1.4910000000000423,micro,med,27,NEED THE FCC TO REMIND VIEWERS AND REMIND PEOPLE WHO ARE
tx_022.srt,tx_022,195,"00:07:33,387 --> 00:07:34,888","00:07:33,387","00:07:34,888",1.5009999999999764,micro,med,27,the first montage about free speech
tx_019.srt,tx_019,37,"00:01:06,601 --> 00:01:08,192","00:01:06,601","00:01:08,192",1.590999999999994,micro,med,27,JOINING ME IS THE CHAIRMAN OF THE FCC.
tx_017.srt,tx_017,204,"00:11:57,450 --> 00:11:59,051","00:11:57,450","00:11:59,051",1.600999999999999,micro,med,27,Or the FCC can just choose to threaten
tx_013.srt,tx_013,50,"00:01:47,040 --> 00:01:48,775","00:01:47,040","00:01:48,775",1.7349999999999994,micro,med,27,"or their remaining critics in the media,"
tx_017.srt,tx_017,363,"00:18:29,341 --> 00:18:31,110","00:18:29,341","00:18:31,110",1.7690000000000055,micro,med,27,has laid out very clear rules on free speech.
tx_019.srt,tx_019,244,"00:07:19,844 --> 00:07:21,735","00:07:19,844","00:07:21,735",1.8910000000000196,micro,med,27,IN IT’S JUSTMARIA: IT’S INCREDI NEED THE FCC TO REMIND VIEWERS
tx_017.srt,tx_017,198,"00:11:46,305 --> 00:11:48,340","00:11:46,305","00:11:48,340",2.035000000000082,short,med,27,the FCC must be notified to threaten
tx_017.srt,tx_017,264,"00:14:24,096 --> 00:14:26,232","00:14:24,096","00:14:26,232",2.1359999999999673,short,med,27,their free speech incorrectly.
tx_022.srt,tx_022,148,"00:05:53,353 --> 00:05:55,589","00:05:53,353","00:05:55,589",2.23599999999999,short,med,27,particularly over the issue of free speech.
tx_019.srt,tx_019,148,"00:04:30,974 --> 00:04:33,275","00:04:30,974","00:04:33,275",2.3009999999999877,short,med,27,DISNEY’S THE VIEW IS NOW ASSERTING TO THE FCC THEY’RE A
tx_019.srt,tx_019,199,"00:05:53,257 --> 00:05:55,558","00:05:53,257","00:05:55,558",2.3009999999999877,short,med,27,THE BONE FIDE NEWS EXCEPTION AND THE FCC WALKED AWAY FROM THIS
tx_013.srt,tx_013,163,"00:06:21,248 --> 00:06:23,583","00:06:21,248","00:06:23,583",2.3350000000000364,short,med,27,"As threats go, that is pretty clear."
tx_019.srt,tx_019,138,"00:04:14,891 --> 00:04:17,259","00:04:14,891","00:04:17,259",2.3680000000000234,short,med,27,TIME TO BOTH. OVER THE YEARS THE FCC
tx_022.srt,tx_022,174,"00:06:47,608 --> 00:06:50,010","00:06:47,608","00:06:50,010",2.401999999999987,short,med,27,and we brought back free speech in America.
tx_019.srt,tx_019,113,"00:03:22,605 --> 00:03:25,097","00:03:22,605","00:03:25,097",2.4920000000000186,short,med,27,WE WANT TO MAKE SURE WE EXAMINE THIS AND THE REGULATORY
tx_022.srt,tx_022,277,"00:10:24,925 --> 00:10:27,528","00:10:24,925","00:10:27,528",2.6030000000000655,short,med,27,and urging media companies to stand up to Trump
tx_017.srt,tx_017,212,"00:12:12,765 --> 00:12:15,401","00:12:12,765","00:12:15,401",2.6359999999999673,short,med,27,"Look, there are certain rules of free speech"
tx_013.srt,tx_013,5,"00:00:12,012 --> 00:00:14,715","00:00:12,012","00:00:14,715",2.7029999999999994,short,med,27,"Jimmy Kimmel off the air, hours after a threat"
tx_022.srt,tx_022,170,"00:06:37,030 --> 00:06:39,833","00:06:37,030","00:06:39,833",2.803000000000054,short,med,27,The issue of free speech is clearly very important to them.
tx_022.srt,tx_022,152,"00:06:04,231 --> 00:06:07,167","00:06:04,231","00:06:07,167",2.9359999999999786,short,med,27,-There have been infringements on free speech
tx_022.srt,tx_022,177,"00:06:57,351 --> 00:07:00,287","00:06:57,351","00:07:00,287",2.9359999999999786,short,med,27,and brought back free speech in America.
tx_022.srt,tx_022,4,"00:00:06,940 --> 00:00:10,010","00:00:06,940","00:00:10,010",3.0700000000000003,short,med,27,his administration is pursuing a crackdown on free speech.
tx_022.srt,tx_022,151,"00:06:00,827 --> 00:06:04,231","00:06:00,827","00:06:04,231",3.4039999999999964,short,med,27,over free speech during Starmer's visit to DC.
tx_021.srt,tx_021,7,"00:00:13,119 --> 00:00:16,639","00:00:13,119","00:00:16,639",3.5199999999999996,short,med,27,>> Carr pressured the Walt Disney Company
tx_009.srt,tx_009,212,"00:03:57,770 --> 00:04:01,540","00:03:57,770","00:04:01,540",3.769999999999982,short,med,27,"THE FCC AND THEN THE FCC, BY"
tx_017.srt,tx_017,186,"00:11:14,540 --> 00:11:18,511","00:11:14,540","00:11:18,511",3.9710000000000036,short,med,27,You may call it free speech in jolly old England.
tx_021.srt,tx_021,55,"00:02:00,959 --> 00:02:05,117","00:02:00,959","00:02:05,117",4.158000000000001,short,med,27,"statement, the FCC says the website"
tx_023.srt,tx_023,16,"00:00:35,759 --> 00:00:40,238","00:00:35,759","00:00:40,238",4.478999999999999,short,med,27,lose their licenses.
tx_021.srt,tx_021,4,"00:00:06,480 --> 00:00:11,119","00:00:06,480","00:00:11,119",4.638999999999999,short,med,27,investigations of major media networks
tx_011.srt,tx_011,4,"00:00:07,200 --> 00:00:12,160","00:00:07,200","00:00:12,160",4.96,short,med,27,attack on our free speech that he's ever
tx_023.srt,tx_023,31,"00:01:09,438 --> 00:01:14,478","00:01:09,438","00:01:14,478",5.039999999999992,phrase,med,27,issue stirring free speech questions at
tx_024.srt,tx_024,76,"00:03:14,800 --> 00:03:20,159","00:03:14,800","00:03:20,159",5.3589999999999804,phrase,med,27,"licenses, sounds like he's telling them"
tx_010.srt,tx_010,39,"00:01:28,159 --> 00:01:33,519","00:01:28,159","00:01:33,519",5.359999999999999,phrase,med,27,license granted by us at the FCC and
tx_004.srt,tx_004,3,"00:00:08,000 --> 00:00:13,519","00:00:08,000","00:00:13,519",5.519,phrase,med,27,goes to the core of suppressing free
tx_015.srt,tx_015,231,"00:05:00,566 --> 00:05:01,567","00:05:00,566","00:05:01,567",1.0010000000000332,micro,med,26,and the pressure
tx_015.srt,tx_015,20,"00:00:25,291 --> 00:00:26,559","00:00:25,291","00:00:26,559",1.2680000000000007,micro,med,26,to silence a comedian
tx_019.srt,tx_019,147,"00:04:29,473 --> 00:04:30,963","00:04:29,473","00:04:30,963",1.490000000000009,micro,med,26,MIND LIKE MEET THE PRESS. DISNEY’S THE VIEW IS NOW
tx_015.srt,tx_015,233,"00:05:02,302 --> 00:05:03,803","00:05:02,302","00:05:03,803",1.5009999999999764,micro,med,26,"Yes, most of the pressure"
tx_013.srt,tx_013,591,"00:24:20,204 --> 00:24:21,827","00:24:20,204","00:24:21,827",1.6230000000000473,micro,med,26,with which he can pressure companies.
tx_015.srt,tx_015,19,"00:00:23,656 --> 00:00:25,291","00:00:23,656","00:00:25,291",1.6350000000000016,micro,med,26,is that a government threat
tx_019.srt,tx_019,88,"00:02:40,796 --> 00:02:42,920","00:02:40,796","00:02:42,920",2.1239999999999952,short,med,26,"THE FIRST GAME BROADCAST WAS THE 1939 WORLDS FAIR, AND IT BRINGS"
tx_019.srt,tx_019,223,"00:06:38,336 --> 00:06:41,128","00:06:38,336","00:06:41,128",2.791999999999973,short,med,26,"OF THE UNION WE HAD WHERE PRESIDENT TRUMP, THE POLITICAL"
tx_013.srt,tx_013,610,"00:25:14,780 --> 00:25:17,616","00:25:14,780","00:25:17,616",2.8360000000000127,short,med,26,But it really shouldn't take the threat of lost revenue
tx_019.srt,tx_019,224,"00:06:41,139 --> 00:06:44,064","00:06:41,139","00:06:44,064",2.9250000000000114,short,med,26,"PRESIDENT TRUMP, THE POLITICAL COLOSSUS OF OUR TIME, SHOWED THE"
tx_013.srt,tx_013,452,"00:19:03,905 --> 00:19:06,846","00:19:03,905","00:19:06,846",2.941000000000031,short,med,26,meaning that we are much less susceptible to pressure
tx_017.srt,tx_017,229,"00:12:48,567 --> 00:12:51,570","00:12:48,567","00:12:51,570",3.0030000000000427,short,med,26,People cannot just go on television and mislead
tx_019.srt,tx_019,28,"00:00:46,781 --> 00:00:50,017","00:00:46,781","00:00:50,017",3.236000000000004,short,med,26,THE ISSUE. THE SPORTS BROADCASTING ACT OF
tx_024.srt,tx_024,79,"00:03:21,840 --> 00:03:25,100","00:03:21,840","00:03:25,100",3.259999999999991,short,med,26,would represent a serious threat to our
tx_013.srt,tx_013,271,"00:10:42,342 --> 00:10:45,682","00:10:42,342","00:10:45,682",3.340000000000032,short,med,26,"to Ajit Pai, FCC chairman during Trump's first term,"
tx_017.srt,tx_017,163,"00:10:10,042 --> 00:10:13,713","00:10:10,042","00:10:13,713",3.6709999999999354,short,med,26,Is free speech more under attack in Britain or America?
tx_027.srt,tx_027,9,"00:00:17,600 --> 00:00:21,358","00:00:17,600","00:00:21,358",3.757999999999999,short,med,26,sitcom targeted President Trump's FCC
tx_013.srt,tx_013,596,"00:24:29,001 --> 00:24:32,905","00:24:29,001","00:24:32,905",3.9039999999999964,short,med,26,You could exert pressure on them by cancelling Disney+ or Hulu.
tx_001.srt,tx_001,18,"00:00:43,600 --> 00:00:47,519","00:00:43,600","00:00:47,519",3.918999999999997,short,med,26,their license should be taken away. I it
tx_020.srt,tx_020,18,"00:00:35,600 --> 00:00:39,680","00:00:35,600","00:00:39,680",4.079999999999998,short,med,26,"silenced by the government, a future"
tx_006.srt,tx_006,96,"00:03:55,360 --> 00:03:59,518","00:03:55,360","00:03:59,518",4.157999999999987,short,med,26,speech at the FCC.
